GDEHISTID;GDENR;GdeName
11751;5621;Aclens
11721;5742;Agiez
11734;5401;Aigle
11732;5851;Allaman
11755;5421;Apples
11766;5701;Arnex-sur-Nyon
11767;5743;Arnex-sur-Orbe
11725;5901;Arrissoules
11671;5702;Arzier
11674;5511;Assens
11679;5422;Aubonne
11661;5451;Avenches
11708;5744;Ballaigues
11718;5423;Ballens
11695;5703;Bassins
11698;5745;Baulmes
11700;5746;Bavois
11874;5704;Begnins
11870;5452;Bellerive (VD)
11884;5581;Belmont-sur-Lausanne
11885;5902;Belmont-sur-Yverdon
11248;5512;Bercher
11863;5424;Berolle
11906;5471;Bettens
11912;5402;Bex
11895;5903;Bioley-Magnoux
11887;5513;Bioley-Orjulaz
11894;5425;Bière
11813;5881;Blonay
11816;5747;Bofflens
11794;5705;Bogis-Bossey
11793;5551;Bonvillars
11795;5706;Borex
11820;5514;Bottens
9570;9999;Bougy
11844;5661;Boulens
11847;5472;Bournens
11848;5473;Boussens
11823;5622;Bremblens
11835;5662;Brenles
11819;5515;Bretigny-sur-Morrens
11829;5748;Bretonnières
9935;9999;Brétigny-Saint-Barthélemy
11452;5623;Buchillon
11463;5552;Bullet
11517;5852;Bursinel
11509;5853;Bursins
11501;5854;Burtigny
9557;9999;Bussigny-sur-Morges
11513;5781;Bussigny-sur-Oron
11242;5625;Bussy-sur-Morges
11508;5663;Bussy-sur-Moudon
11410;5782;Carrouge (VD)
11399;5811;Cerniaz (VD)
11395;5453;Chabrey
11398;5904;Chamblon
11443;5553;Champagne
11436;5454;Champmartin
11437;5812;Champtauroz
11438;5905;Champvent
11442;5906;Chanéaz
9575;9999;Chapelle (VD)
11446;5882;Chardonne
11243;5626;Chardonney-sur-Morges
11421;5707;Chavannes-de-Bogis
11422;5708;Chavannes-des-Bois
11423;5907;Chavannes-le-Chêne
11433;5475;Chavannes-le-Veyron
11417;5627;Chavannes-près-Renens
11428;5665;Chavannes-sur-Moudon
11429;5749;Chavornay
11603;5666;Chesalles-sur-Moudon
11604;5784;Chesalles-sur-Oron
11605;5909;Cheseaux-Noréaz
11606;5582;Cheseaux-sur-Lausanne
11609;5403;Chessel
11601;5476;Chevilly
11611;5813;Chevroux
11612;5601;Chexbres
11593;5628;Chigny
11449;5841;Château-d'Oex
11441;5783;Châtillens
11607;5709;Chéserex
9578;9999;Chêne-Paquier
11589;5629;Clarmont
11585;5710;Coinsins
11644;5630;Colombier (VD)
11637;5814;Combremont-le-Grand
11638;5815;Combremont-le-Petit
11639;5711;Commugny
11641;5554;Concise
11643;5455;Constantine
11646;5712;Coppet
11647;5404;Corbeyrier
11650;5785;Corcelles-le-Jorat
11627;5555;Corcelles-près-Concise
