bfs_GDEHISTID;bfs_GDENR;bfs_GdeName;dhs_name;dhs_id;dhs_category;dhs_url
11751;5621;Aclens;Aclens;dhs-002427;commune;https://hls-dhs-dss.ch/fr/articles/002427/2009-06-23/
11721;5742;Agiez;Agiez;dhs-002526;commune;https://hls-dhs-dss.ch/fr/articles/002526/2009-06-25/
11734;5401;Aigle;Aigle (commune);dhs-002276;commune;https://hls-dhs-dss.ch/fr/articles/002276/2009-06-25/
11732;5851;Allaman;Allaman;dhs-002596;commune;https://hls-dhs-dss.ch/fr/articles/002596/2009-06-30/
11755;5421;Apples;Apples;dhs-002291;commune;https://hls-dhs-dss.ch/fr/articles/002291/2009-07-21/
11766;5701;Arnex-sur-Nyon;Arnex-sur-Nyon;dhs-002493;commune;https://hls-dhs-dss.ch/fr/articles/002493/2009-08-20/
11767;5743;Arnex-sur-Orbe;Arnex-sur-Orbe;dhs-002527;commune;https://hls-dhs-dss.ch/fr/articles/002527/2014-04-10/
11725;5901;Arrissoules;Arrissoules;dhs-002622;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002622/2017-01-05/
11671;5702;Arzier;Arzier;dhs-002494;commune;https://hls-dhs-dss.ch/fr/articles/002494/2014-05-22/
11674;5511;Assens;Assens;dhs-002354;commune;https://hls-dhs-dss.ch/fr/articles/002354/2017-01-04/
11679;5422;Aubonne;Aubonne (commune);dhs-002292;commune;https://hls-dhs-dss.ch/fr/articles/002292/2021-07-22/
11661;5451;Avenches;Avenches (commune);dhs-002308;commune;https://hls-dhs-dss.ch/fr/articles/002308/2017-01-04/
11708;5744;Ballaigues;Ballaigues;dhs-002528;commune;https://hls-dhs-dss.ch/fr/articles/002528/2014-06-24/
11718;5423;Ballens;Ballens;dhs-002293;commune;https://hls-dhs-dss.ch/fr/articles/002293/2009-09-08/
11695;5703;Bassins;Bassins;dhs-002495;commune;https://hls-dhs-dss.ch/fr/articles/002495/2004-05-06/
11698;5745;Baulmes;Baulmes;dhs-002529;commune;https://hls-dhs-dss.ch/fr/articles/002529/2004-05-06/
11700;5746;Bavois;Bavois;dhs-002530;commune;https://hls-dhs-dss.ch/fr/articles/002530/2004-11-04/
11874;5704;Begnins;Begnins;dhs-002496;commune;https://hls-dhs-dss.ch/fr/articles/002496/2004-05-10/
