name;id;category;url
Abbaye, L';dhs-002609;commune;https://hls-dhs-dss.ch/fr/articles/002609/2009-06-23/
Abergement, L';dhs-002525;commune;https://hls-dhs-dss.ch/fr/articles/002525/2009-06-23/
Aclens;dhs-002427;commune;https://hls-dhs-dss.ch/fr/articles/002427/2009-06-23/
Agiez;dhs-002526;commune;https://hls-dhs-dss.ch/fr/articles/002526/2009-06-25/
Aigle (commune);dhs-002276;commune;https://hls-dhs-dss.ch/fr/articles/002276/2009-06-25/
Allaman;dhs-002596;commune;https://hls-dhs-dss.ch/fr/articles/002596/2009-06-30/
Apples;dhs-002291;commune;https://hls-dhs-dss.ch/fr/articles/002291/2009-07-21/
Arnex-sur-Nyon;dhs-002493;commune;https://hls-dhs-dss.ch/fr/articles/002493/2009-08-20/
Arnex-sur-Orbe;dhs-002527;commune;https://hls-dhs-dss.ch/fr/articles/002527/2014-04-10/
Arrissoules;dhs-002622;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002622/2017-01-05/
Arzier;dhs-002494;commune;https://hls-dhs-dss.ch/fr/articles/002494/2014-05-22/
Assens;dhs-002354;commune;https://hls-dhs-dss.ch/fr/articles/002354/2017-01-04/
Aubonne (commune);dhs-002292;commune;https://hls-dhs-dss.ch/fr/articles/002292/2021-07-22/
Avenches (commune);dhs-002308;commune;https://hls-dhs-dss.ch/fr/articles/002308/2017-01-04/
Ballaigues;dhs-002528;commune;https://hls-dhs-dss.ch/fr/articles/002528/2014-06-24/
Ballens;dhs-002293;commune;https://hls-dhs-dss.ch/fr/articles/002293/2009-09-08/
Bassins;dhs-002495;commune;https://hls-dhs-dss.ch/fr/articles/002495/2004-05-06/
Baulmes;dhs-002529;commune;https://hls-dhs-dss.ch/fr/articles/002529/2004-05-06/
Bavois;dhs-002530;commune;https://hls-dhs-dss.ch/fr/articles/002530/2004-11-04/
Begnins;dhs-002496;commune;https://hls-dhs-dss.ch/fr/articles/002496/2004-05-10/
Bellerive (VD);dhs-002309;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002309/2017-02-08/
Belmont-sur-Lausanne;dhs-002403;commune;https://hls-dhs-dss.ch/fr/articles/002403/2004-05-10/
Belmont-sur-Yverdon;dhs-002623;commune;https://hls-dhs-dss.ch/fr/articles/002623/2004-05-10/
Bercher;dhs-002355;commune;https://hls-dhs-dss.ch/fr/articles/002355/2004-05-11/
Berolle;dhs-002294;commune;https://hls-dhs-dss.ch/fr/articles/002294/2004-09-22/
Bettens;dhs-002321;commune;https://hls-dhs-dss.ch/fr/articles/002321/2004-04-29/
Bex (commune);dhs-002277;commune;https://hls-dhs-dss.ch/fr/articles/002277/2004-09-30/
Bioley-Magnoux;dhs-002624;commune;https://hls-dhs-dss.ch/fr/articles/002624/2004-04-30/
Bioley-Orjulaz;dhs-002356;commune;https://hls-dhs-dss.ch/fr/articles/002356/2004-09-30/
Bière;dhs-002295;commune;https://hls-dhs-dss.ch/fr/articles/002295/2007-12-24/
Blonay;dhs-002612;commune;https://hls-dhs-dss.ch/fr/articles/002612/2014-07-03/
Bofflens;dhs-002531;commune;https://hls-dhs-dss.ch/fr/articles/002531/2004-05-03/
Bogis-Bossey;dhs-002497;commune;https://hls-dhs-dss.ch/fr/articles/002497/2004-05-03/
Bonvillars;dhs-002383;commune;https://hls-dhs-dss.ch/fr/articles/002383/2004-10-06/
Borex;dhs-002498;commune;https://hls-dhs-dss.ch/fr/articles/002498/2004-10-12/
Bottens;dhs-002357;commune;https://hls-dhs-dss.ch/fr/articles/002357/2004-05-04/
Bougy-Villars;dhs-002296;commune;https://hls-dhs-dss.ch/fr/articles/002296/2004-11-04/
Boulens;dhs-002461;commune;https://hls-dhs-dss.ch/fr/articles/002461/2010-04-01/
Bourg-en-Lavaux;dhs-049574;commune;https://hls-dhs-dss.ch/fr/articles/049574/2016-09-28/
Bournens;dhs-002322;commune;https://hls-dhs-dss.ch/fr/articles/002322/2002-12-18/
Boussens;dhs-002323;commune;https://hls-dhs-dss.ch/fr/articles/002323/2002-12-18/
Bremblens;dhs-002428;commune;https://hls-dhs-dss.ch/fr/articles/002428/2004-05-04/
Brenles;dhs-002462;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002462/2017-01-13/
Bretigny-sur-Morrens;dhs-002358;commune;https://hls-dhs-dss.ch/fr/articles/002358/2004-10-15/
Bretonnières;dhs-002532;commune;https://hls-dhs-dss.ch/fr/articles/002532/2004-10-15/
Buchillon (VD);dhs-002429;commune;https://hls-dhs-dss.ch/fr/articles/002429/2004-10-25/
Bullet;dhs-002384;commune;https://hls-dhs-dss.ch/fr/articles/002384/2003-02-04/
Bursinel;dhs-002597;commune;https://hls-dhs-dss.ch/fr/articles/002597/2003-03-14/
Bursins;dhs-002598;commune;https://hls-dhs-dss.ch/fr/articles/002598/2004-05-05/
Burtigny;dhs-002599;commune;https://hls-dhs-dss.ch/fr/articles/002599/2004-11-03/
Bussigny-près-Lausanne;dhs-002430;commune;https://hls-dhs-dss.ch/fr/articles/002430/2011-05-05/
